parameter,chinese_name,calculation_description,meaning,formula
strict_chain_row_coverage_after,删除后严格链覆盖行数,删除后所有长度 >= 2 strict 链的链长之和。,删元素后 strict scan 链覆盖规模。,"Σ len(chain_after), len >= 2"
strict_chain_row_coverage_gain,严格链覆盖行数增量,删除后覆盖行数减删除前覆盖行数。,直接衡量删边制造 scan 链的收益。,strict_chain_row_coverage_after - strict_chain_row_coverage_before
strict_chain_row_coverage_gain_ratio,严格链覆盖率增量,严格链覆盖行数增量除以 n_rows。,不同规模矩阵间可比的 strict 覆盖收益。,strict_chain_row_coverage_gain / n_rows
strict_chain_coverage_gain_per_drop_ratio,单位删除比例严格覆盖收益,严格链覆盖率增量除以实际删除比例。,回答每删除 1% 非零元大约换来多少 strict 覆盖率提升。,strict_chain_row_coverage_gain_ratio / drop_ratio_actual
strict_chain_coverage_gain_per_drop_percent,每删除1%严格覆盖率收益,严格链覆盖率增量除以实际删除百分比点。,直接回答每删除 1% strict-lower 非零元换来多少 strict 覆盖率提升。,strict_chain_row_coverage_gain_ratio / (100 * drop_ratio_actual)
frontier_safe_chain_row_coverage_before,删除前 frontier-safe 链覆盖行数,删除前按唯一最深前驱加边界切链规则得到的链覆盖。,比 strict 更宽松的可 scan 基线。,"Σ len(frontier_chain_before), len >= 2"
frontier_safe_chain_row_coverage_after,删除后 frontier-safe 链覆盖行数,删除后按 frontier-safe 规则得到的链覆盖。,判断删边是否改善 frontier-safe 候选链。,"Σ len(frontier_chain_after), len >= 2"
frontier_safe_chain_row_coverage_gain,frontier-safe 链覆盖行数增量,删除后 frontier-safe 覆盖减删除前覆盖。,衡量更宽松口径下的覆盖收益。,after - before
frontier_safe_chain_row_coverage_gain_ratio,frontier-safe 链覆盖率增量,frontier-safe 覆盖行数增量除以 n_rows。,不同矩阵间可比的 frontier-safe 覆盖收益。,frontier_safe_chain_row_coverage_gain / n_rows
frontier_safe_boundary_cut_before,删除前 frontier-safe 切链次数,候选 parent 链中因非主依赖不满足 pred < head 发生的切链次数。,frontier-safe 长链被打断的规模。,# cuts before
frontier_safe_boundary_cut_after,删除后 frontier-safe 切链次数,删除后重新计算 frontier-safe 边界切链次数。,判断删边是否减少安全边界切链。,# cuts after
frontier_safe_boundary_cut_reduction,frontier-safe 切链减少量,删除前切链次数减删除后切链次数。,scan-chain-aware 希望减少的 frontier-safe 切链点。,frontier_safe_boundary_cut_before - frontier_safe_boundary_cut_after
effective_chain_rows_ge_8_before,删除前长度至少8的有效链覆盖行数,删除前所有长度 >= 8 的 strict 链链长之和。,衡量删除前已经有多少具备执行价值的长 strict 链行。,"Σ len(chain_before), len >= 8"
effective_chain_rows_ge_8_after,删除后长度至少8的有效链覆盖行数,删除后所有长度 >= 8 的 strict 链链长之和。,衡量删边后具备执行价值的长 strict 链行。,"Σ len(chain_after), len >= 8"
effective_chain_rows_ge_8,长度至少8的有效链覆盖行数,兼容字段，等同于 effective_chain_rows_ge_8_after。,用于直接比较当前参数组合最终产生的有效长链覆盖。,effective_chain_rows_ge_8_after
effective_chain_rows_ge_8_gain,长度至少8的有效链覆盖行数增量,删除后长度 >= 8 的覆盖行数减删除前对应覆盖行数。,判断删边是否真正制造更长、更值得执行的 scan 链。,effective_chain_rows_ge_8_after - effective_chain_rows_ge_8_before
effective_chain_rows_ge_8_gain_per_dropped_edge,每删一条边长度至少8覆盖行数收益,长度 >= 8 的有效链覆盖行数增量除以 dropped_nnz。,衡量每条被删除 strict-lower 边换来的有效长链行收益。,effective_chain_rows_ge_8_gain / dropped_nnz
effective_chain_rows_ge_16_before,删除前长度至少16的有效链覆盖行数,删除前所有长度 >= 16 的 strict 链链长之和。,衡量删除前已经有多少具备执行价值的长 strict 链行。,"Σ len(chain_before), len >= 16"
effective_chain_rows_ge_16_after,删除后长度至少16的有效链覆盖行数,删除后所有长度 >= 16 的 strict 链链长之和。,衡量删边后具备执行价值的长 strict 链行。,"Σ len(chain_after), len >= 16"
effective_chain_rows_ge_16,长度至少16的有效链覆盖行数,兼容字段，等同于 effective_chain_rows_ge_16_after。,用于直接比较当前参数组合最终产生的有效长链覆盖。,effective_chain_rows_ge_16_after
effective_chain_rows_ge_16_gain,长度至少16的有效链覆盖行数增量,删除后长度 >= 16 的覆盖行数减删除前对应覆盖行数。,判断删边是否真正制造更长、更值得执行的 scan 链。,effective_chain_rows_ge_16_after - effective_chain_rows_ge_16_before
effective_chain_rows_ge_16_gain_per_dropped_edge,每删一条边长度至少16覆盖行数收益,长度 >= 16 的有效链覆盖行数增量除以 dropped_nnz。,衡量每条被删除 strict-lower 边换来的有效长链行收益。,effective_chain_rows_ge_16_gain / dropped_nnz
effective_chain_rows_ge_32_before,删除前长度至少32的有效链覆盖行数,删除前所有长度 >= 32 的 strict 链链长之和。,衡量删除前已经有多少具备执行价值的长 strict 链行。,"Σ len(chain_before), len >= 32"
effective_chain_rows_ge_32_after,删除后长度至少32的有效链覆盖行数,删除后所有长度 >= 32 的 strict 链链长之和。,衡量删边后具备执行价值的长 strict 链行。,"Σ len(chain_after), len >= 32"
effective_chain_rows_ge_32,长度至少32的有效链覆盖行数,兼容字段，等同于 effective_chain_rows_ge_32_after。,用于直接比较当前参数组合最终产生的有效长链覆盖。,effective_chain_rows_ge_32_after
effective_chain_rows_ge_32_gain,长度至少32的有效链覆盖行数增量,删除后长度 >= 32 的覆盖行数减删除前对应覆盖行数。,判断删边是否真正制造更长、更值得执行的 scan 链。,effective_chain_rows_ge_32_after - effective_chain_rows_ge_32_before
effective_chain_rows_ge_32_gain_per_dropped_edge,每删一条边长度至少32覆盖行数收益,长度 >= 32 的有效链覆盖行数增量除以 dropped_nnz。,衡量每条被删除 strict-lower 边换来的有效长链行收益。,effective_chain_rows_ge_32_gain / dropped_nnz
effective_chain_count_ge_8_before,删除前长度至少8的有效链条数,删除前 strict 链中长度 >= 8 的链条数量。,删除前具备执行价值的长链条数。,|{chain_before: len >= 8}|
effective_chain_count_ge_8_after,删除后长度至少8的有效链条数,删除后 strict 链中长度 >= 8 的链条数量。,删除后具备执行价值的长链条数。,|{chain_after: len >= 8}|
effective_chain_count_ge_8_gain,长度至少8的有效链条数增量,删除后长度 >= 8 的链条数减删除前对应链条数。,判断删边是否增加有执行价值的长链数量。,effective_chain_count_ge_8_after - effective_chain_count_ge_8_before
effective_chain_count_ge_16_before,删除前长度至少16的有效链条数,删除前 strict 链中长度 >= 16 的链条数量。,删除前具备执行价值的长链条数。,|{chain_before: len >= 16}|
effective_chain_count_ge_16_after,删除后长度至少16的有效链条数,删除后 strict 链中长度 >= 16 的链条数量。,删除后具备执行价值的长链条数。,|{chain_after: len >= 16}|
effective_chain_count_ge_16_gain,长度至少16的有效链条数增量,删除后长度 >= 16 的链条数减删除前对应链条数。,判断删边是否增加有执行价值的长链数量。,effective_chain_count_ge_16_after - effective_chain_count_ge_16_before
effective_chain_count_ge_32_before,删除前长度至少32的有效链条数,删除前 strict 链中长度 >= 32 的链条数量。,删除前具备执行价值的长链条数。,|{chain_before: len >= 32}|
effective_chain_count_ge_32_after,删除后长度至少32的有效链条数,删除后 strict 链中长度 >= 32 的链条数量。,删除后具备执行价值的长链条数。,|{chain_after: len >= 32}|
effective_chain_count_ge_32_gain,长度至少32的有效链条数增量,删除后长度 >= 32 的链条数减删除前对应链条数。,判断删边是否增加有执行价值的长链数量。,effective_chain_count_ge_32_after - effective_chain_count_ge_32_before
effective_chain_coverage_ge_8_before,删除前长度至少8的有效链覆盖率,删除前长度 >= 8 的有效链覆盖行数除以 n_rows。,不同矩阵间可比的删除前有效长链覆盖率。,effective_chain_rows_ge_8_before / n_rows
effective_chain_coverage_ge_8_after,删除后长度至少8的有效链覆盖率,删除后长度 >= 8 的有效链覆盖行数除以 n_rows。,不同矩阵间可比的删除后有效长链覆盖率。,effective_chain_rows_ge_8_after / n_rows
effective_chain_coverage_ge_8,长度至少8的有效链覆盖率,兼容字段，等同于 effective_chain_coverage_ge_8_after。,用于画图和跨方法比较的最终有效长链覆盖率。,effective_chain_coverage_ge_8_after
effective_chain_coverage_ge_8_gain,长度至少8的有效链覆盖率增量,删除后长度 >= 8 的覆盖率减删除前对应覆盖率。,判断删边是否提升有效长链覆盖率。,effective_chain_coverage_ge_8_after - effective_chain_coverage_ge_8_before
effective_chain_coverage_ge_8_gain_per_drop_ratio,单位删除比例长度至少8覆盖率收益,长度 >= 8 的覆盖率增量除以实际删除比例。,回答每删除 1% 非零元换来多少有效长链覆盖率提升。,effective_chain_coverage_ge_8_gain / drop_ratio_actual
effective_chain_coverage_ge_8_gain_per_drop_percent,每删除1%长度至少8覆盖率收益,长度 >= 8 的覆盖率增量除以实际删除百分比点。,直接回答每删除 1% strict-lower 非零元换来多少有效长链覆盖率提升。,effective_chain_coverage_ge_8_gain / (100 * drop_ratio_actual)
effective_chain_coverage_ge_16_before,删除前长度至少16的有效链覆盖率,删除前长度 >= 16 的有效链覆盖行数除以 n_rows。,不同矩阵间可比的删除前有效长链覆盖率。,effective_chain_rows_ge_16_before / n_rows
effective_chain_coverage_ge_16_after,删除后长度至少16的有效链覆盖率,删除后长度 >= 16 的有效链覆盖行数除以 n_rows。,不同矩阵间可比的删除后有效长链覆盖率。,effective_chain_rows_ge_16_after / n_rows
effective_chain_coverage_ge_16,长度至少16的有效链覆盖率,兼容字段，等同于 effective_chain_coverage_ge_16_after。,用于画图和跨方法比较的最终有效长链覆盖率。,effective_chain_coverage_ge_16_after
effective_chain_coverage_ge_16_gain,长度至少16的有效链覆盖率增量,删除后长度 >= 16 的覆盖率减删除前对应覆盖率。,判断删边是否提升有效长链覆盖率。,effective_chain_coverage_ge_16_after - effective_chain_coverage_ge_16_before
effective_chain_coverage_ge_16_gain_per_drop_ratio,单位删除比例长度至少16覆盖率收益,长度 >= 16 的覆盖率增量除以实际删除比例。,回答每删除 1% 非零元换来多少有效长链覆盖率提升。,effective_chain_coverage_ge_16_gain / drop_ratio_actual
effective_chain_coverage_ge_16_gain_per_drop_percent,每删除1%长度至少16覆盖率收益,长度 >= 16 的覆盖率增量除以实际删除百分比点。,直接回答每删除 1% strict-lower 非零元换来多少有效长链覆盖率提升。,effective_chain_coverage_ge_16_gain / (100 * drop_ratio_actual)
effective_chain_coverage_ge_32_before,删除前长度至少32的有效链覆盖率,删除前长度 >= 32 的有效链覆盖行数除以 n_rows。,不同矩阵间可比的删除前有效长链覆盖率。,effective_chain_rows_ge_32_before / n_rows
effective_chain_coverage_ge_32_after,删除后长度至少32的有效链覆盖率,删除后长度 >= 32 的有效链覆盖行数除以 n_rows。,不同矩阵间可比的删除后有效长链覆盖率。,effective_chain_rows_ge_32_after / n_rows
effective_chain_coverage_ge_32,长度至少32的有效链覆盖率,兼容字段，等同于 effective_chain_coverage_ge_32_after。,用于画图和跨方法比较的最终有效长链覆盖率。,effective_chain_coverage_ge_32_after
effective_chain_coverage_ge_32_gain,长度至少32的有效链覆盖率增量,删除后长度 >= 32 的覆盖率减删除前对应覆盖率。,判断删边是否提升有效长链覆盖率。,effective_chain_coverage_ge_32_after - effective_chain_coverage_ge_32_before
effective_chain_coverage_ge_32_gain_per_drop_ratio,单位删除比例长度至少32覆盖率收益,长度 >= 32 的覆盖率增量除以实际删除比例。,回答每删除 1% 非零元换来多少有效长链覆盖率提升。,effective_chain_coverage_ge_32_gain / drop_ratio_actual
effective_chain_coverage_ge_32_gain_per_drop_percent,每删除1%长度至少32覆盖率收益,长度 >= 32 的覆盖率增量除以实际删除百分比点。,直接回答每删除 1% strict-lower 非零元换来多少有效长链覆盖率提升。,effective_chain_coverage_ge_32_gain / (100 * drop_ratio_actual)
avg_chain_length_before,删除前平均严格链长,删除前 strict 链覆盖行数除以 strict 链条数。,天然 strict 链平均长度。,coverage_before / chain_count_before
avg_chain_length_after,删除后平均严格链长,删除后 strict 链覆盖行数除以 strict 链条数。,删边后 strict 链平均长度。,coverage_after / chain_count_after
avg_effective_chain_length_ge_8_before,删除前长度至少8的平均有效链长,删除前长度 >= 8 的有效链覆盖行数除以对应链条数。,删除前长链的平均执行长度。,effective_chain_rows_ge_8_before / effective_chain_count_ge_8_before
avg_effective_chain_length_ge_8_after,删除后长度至少8的平均有效链长,删除后长度 >= 8 的有效链覆盖行数除以对应链条数。,删除后长链的平均执行长度。,effective_chain_rows_ge_8_after / effective_chain_count_ge_8_after
avg_effective_chain_length_ge_16_before,删除前长度至少16的平均有效链长,删除前长度 >= 16 的有效链覆盖行数除以对应链条数。,删除前长链的平均执行长度。,effective_chain_rows_ge_16_before / effective_chain_count_ge_16_before
avg_effective_chain_length_ge_16_after,删除后长度至少16的平均有效链长,删除后长度 >= 16 的有效链覆盖行数除以对应链条数。,删除后长链的平均执行长度。,effective_chain_rows_ge_16_after / effective_chain_count_ge_16_after
avg_effective_chain_length_ge_32_before,删除前长度至少32的平均有效链长,删除前长度 >= 32 的有效链覆盖行数除以对应链条数。,删除前长链的平均执行长度。,effective_chain_rows_ge_32_before / effective_chain_count_ge_32_before
avg_effective_chain_length_ge_32_after,删除后长度至少32的平均有效链长,删除后长度 >= 32 的有效链覆盖行数除以对应链条数。,删除后长链的平均执行长度。,effective_chain_rows_ge_32_after / effective_chain_count_ge_32_after
effective_long_chain_score_before,删除前有效长链加权分数,用长度 >=8、>=16、>=32 的覆盖行数加权求和。,综合衡量删除前可执行长链规模，权重偏向更长链。,score = rows_ge8 + 2 * rows_ge16 + 4 * rows_ge32
effective_long_chain_score_after,删除后有效长链加权分数,删除后重新计算长度 >=8、>=16、>=32 的覆盖行数加权和。,综合衡量删边后可执行长链规模。,score_after = rows_ge8_after + 2 * rows_ge16_after + 4 * rows_ge32_after
effective_long_chain_score_gain,有效长链加权分数增量,删除后有效长链加权分数减删除前分数。,用于判断删边是否真正制造更有执行价值的长链。,effective_long_chain_score_after - effective_long_chain_score_before
effective_long_chain_score_gain_per_drop_percent,每删除1%有效长链分数收益,有效长链加权分数增量先除以 n_rows 得到归一化收益，再除以实际删除百分比点。,回答每删除 1% strict-lower 非零元换来多少综合长链收益。,(effective_long_chain_score_gain / n_rows) / (100 * drop_ratio_actual)
max_chain_length_before,删除前最长严格链长,删除前所有 strict 链中的最大链长。,天然长链上限。,max len(chain_before)
max_chain_length_after,删除后最长严格链长,删除后所有 strict 链中的最大链长。,删边后长链上限。,max len(chain_after)
strict_chain_len_ge_8_before,删除前长度至少8的严格链条数,删除前 strict 链中长度 >= 8 的链条数量。,天然长 strict 链条数。,|{chain_before: len >= 8}|
strict_chain_len_ge_8_after,删除后长度至少8的严格链条数,删除后 strict 链中长度 >= 8 的链条数量。,删边后长 strict 链条数。,|{chain_after: len >= 8}|
strict_chain_len_ge_16_before,删除前长度至少16的严格链条数,删除前 strict 链中长度 >= 16 的链条数量。,天然长 strict 链条数。,|{chain_before: len >= 16}|
strict_chain_len_ge_16_after,删除后长度至少16的严格链条数,删除后 strict 链中长度 >= 16 的链条数量。,删边后长 strict 链条数。,|{chain_after: len >= 16}|
strict_chain_len_ge_32_before,删除前长度至少32的严格链条数,删除前 strict 链中长度 >= 32 的链条数量。,天然长 strict 链条数。,|{chain_before: len >= 32}|
strict_chain_len_ge_32_after,删除后长度至少32的严格链条数,删除后 strict 链中长度 >= 32 的链条数量。,删边后长 strict 链条数。,|{chain_after: len >= 32}|
chain_gain_per_dropped_edge,每删一条边的严格覆盖收益,严格链覆盖行数增量除以 dropped_nnz。,衡量删边效率；负值表示删边破坏了 strict 链覆盖。,strict_chain_row_coverage_gain / dropped_nnz
